Sr.No,Washer_Dryer,AC,Parking,Fireplace,Dishwasher,Hardwood_floors,Roofdeck,Storage
447,Yes,Yes,Yes,Yes,Yes,No,No,No
448,Yes,Yes,Yes,No,No,No,No,No
449,Yes,Yes,Yes,Yes,Yes,No,No,No
450,Yes,Yes,Yes,Yes,Yes,No,No,No
451,Yes,Yes,Yes,Yes,Yes,No,No,No
452,Yes,Yes,Yes,Yes,Yes,No,No,No
453,Yes,Yes,Yes,Yes,Yes,No,No,No
454,Yes,Yes,Yes,Yes,Yes,No,No,No
455,Yes,Yes,Yes,Yes,Yes,No,No,No
456,Yes,Yes,Yes,Yes,Yes,No,No,No
457,Yes,Yes,Yes,Yes,Yes,No,No,No
458,Yes,Yes,Yes,Yes,Yes,Yes,No,No
459,Yes,Yes,Yes,Yes,Yes,No,No,No
460,Yes,Yes,Yes,Yes,Yes,No,No,No
461,Yes,Yes,Yes,Yes,Yes,No,No,No
462,Yes,Yes,Yes,Yes,Yes,No,No,No
463,Yes,Yes,Yes,Yes,Yes,No,No,No
464,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
465,Yes,Yes,Yes,Yes,Yes,No,No,No
466,Yes,Yes,Yes,Yes,Yes,No,No,No
467,Yes,Yes,Yes,Yes,Yes,No,No,Yes
468,Yes,Yes,Yes,Yes,Yes,No,No,No
469,Yes,Yes,Yes,Yes,Yes,No,No,No
470,Yes,Yes,Yes,Yes,Yes,No,No,No
471,Yes,Yes,Yes,Yes,Yes,No,No,No
472,Yes,Yes,Yes,Yes,Yes,No,No,No
473,Yes,Yes,Yes,Yes,Yes,No,No,No
474,No,Yes,Yes,Yes,No,No,Yes,Yes
475,Yes,Yes,Yes,Yes,Yes,No,No,No
476,Yes,Yes,Yes,Yes,Yes,No,No,No
477,No,Yes,Yes,Yes,Yes,Yes,No,Yes
478,Yes,Yes,Yes,Yes,Yes,No,No,No
479,Yes,Yes,Yes,Yes,Yes,No,No,No
480,Yes,Yes,Yes,Yes,Yes,No,No,No
481,Yes,Yes,Yes,Yes,Yes,No,No,No
482,Yes,Yes,No,Yes,Yes,Yes,No,Yes
483,Yes,Yes,Yes,Yes,Yes,No,No,No
484,Yes,Yes,Yes,Yes,Yes,No,No,No
485,Yes,Yes,Yes,Yes,Yes,No,No,No
486,Yes,Yes,Yes,Yes,Yes,No,No,Yes
487,Yes,Yes,Yes,Yes,Yes,No,No,No
488,Yes,Yes,Yes,Yes,Yes,No,No,No
489,Yes,Yes,Yes,Yes,Yes,No,No,No
490,Yes,Yes,Yes,Yes,Yes,No,No,No
491,Yes,Yes,Yes,Yes,Yes,No,No,No
492,Yes,Yes,Yes,Yes,Yes,No,No,No
493,Yes,Yes,Yes,Yes,Yes,No,No,Yes
494,Yes,Yes,Yes,Yes,Yes,No,No,No
495,Yes,Yes,Yes,Yes,Yes,No,No,No
496,No,No,Yes,No,Yes,Yes,No,No
497,Yes,Yes,Yes,Yes,Yes,No,No,No
498,Yes,Yes,Yes,Yes,Yes,No,No,No
499,Yes,Yes,Yes,Yes,Yes,No,No,No
500,Yes,Yes,Yes,Yes,Yes,No,No,No
501,Yes,Yes,Yes,Yes,Yes,No,No,No
502,No,Yes,Yes,Yes,No,No,No,No
503,Yes,Yes,Yes,Yes,Yes,No,No,No
504,Yes,Yes,Yes,Yes,Yes,No,No,No
505,Yes,Yes,Yes,Yes,Yes,No,No,No
506,Yes,Yes,Yes,Yes,Yes,No,No,No
507,Yes,Yes,Yes,Yes,Yes,No,No,No
508,Yes,Yes,Yes,Yes,Yes,No,No,No
509,Yes,Yes,Yes,Yes,Yes,No,No,No
510,Yes,Yes,Yes,Yes,Yes,No,No,No
511,Yes,Yes,Yes,Yes,Yes,No,No,No
512,Yes,Yes,Yes,Yes,Yes,No,No,No
513,Yes,Yes,Yes,Yes,Yes,No,No,No
