Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
303,3.0,1.0,1300.0,No
304,2.0,1.0,3462.0,No
305,,1.0,315.0,No
306,2.0,1.0,1764.0,No
307,2.0,1.0,6387.0,No
308,2.0,1.0,1000.0,No
309,2.0,1.0,,Yes
310,4.0,4.0,1332.0,No
311,2.0,1.0,1364.0,No
312,2.0,2.0,1200.0,No
313,3.0,1.0,1808.0,No
314,4.0,2.5,2640.0,No
315,3.0,2.0,1500.0,No
316,1.0,1.0,700.0,No
317,3.0,1.0,1250.0,No
318,1.0,1.0,,No
319,1.0,1.0,1200.0,No
320,6.0,2.0,,No
321,1.0,1.0,4129.0,No
322,2.0,1.0,1684.0,No
323,2.0,1.0,,Yes
324,1.0,1.0,,No
325,3.0,2.0,2117.0,Yes
326,3.0,1.0,2352.0,No
327,2.0,1.0,,No
328,3.0,4.0,,Yes
329,3.0,2.0,1500.0,No
330,,,,No
331,3.0,2.0,,No
332,1.0,1.0,,No
333,3.0,1.0,3869.0,No
334,3.0,1.0,1276.0,No
335,2.0,1.0,1100.0,Yes
336,2.0,1.0,843.0,No
337,3.0,1.0,1400.0,No
338,2.0,2.0,1600.0,No
339,8.0,4.0,,Yes
340,1.0,1.0,400.0,No
341,1.0,1.0,,No
342,5.0,2.0,,No
343,1.0,1.0,,Yes
344,2.0,1.0,1116.0,No
345,6.0,2.0,,Yes
346,2.0,1.0,,No
347,2.0,1.0,1065.0,No
348,1.0,1.0,38606.0,No
349,3.0,2.0,,Yes
350,3.0,1.0,1163.0,No
351,2.0,1.0,,Yes
352,1.0,1.0,1453.0,No
353,2.0,1.0,,No
354,3.0,1.0,1100.0,No
355,1.0,1.0,900.0,No
356,2.0,1.0,,Yes
357,2.0,1.0,1300.0,No
358,3.0,1.0,1335.0,No
359,,,,No
360,3.0,1.0,2620.0,No
361,2.0,1.0,2270.0,No
362,5.0,2.0,3000.0,No
363,1.0,1.0,713.0,No
364,2.0,2.0,,Yes
365,2.0,1.0,6380.0,No
366,,,,No
367,2.0,1.0,1300.0,No
368,1.0,1.0,617.0,No
369,3.0,1.0,800.0,Yes
370,2.0,1.0,2024.0,No
371,3.0,1.0,1250.0,No
372,,1.0,300.0,No
373,3.0,2.0,1593.0,Yes
374,4.0,1.0,,No
375,3.0,1.0,1300.0,No
376,2.0,2.0,2192.0,No
377,2.0,1.5,1200.0,No
378,3.0,1.0,1215.0,No
379,4.0,1.0,2260.0,No
380,3.0,1.0,1500.0,No
381,2.0,1.0,1008.0,No
382,1.0,1.0,650.0,No
383,4.0,2.0,1564.0,Yes
384,3.0,1.0,1230.0,No
385,1.0,1.0,700.0,No
386,1.0,1.0,539.0,Yes
387,3.0,3.0,2975.0,Yes
388,2.0,1.0,,No
389,3.0,1.0,,No
390,,1.0,500.0,No
391,2.0,1.0,,No
392,1.0,1.0,,Yes
393,2.0,2.0,1308.0,No
394,3.0,2.0,1593.0,Yes
395,2.0,1.0,,No
396,1.0,1.0,,No
397,3.0,2.0,1600.0,No
398,2.0,2.5,1505.0,No
399,4.0,5.0,4739.0,No
400,6.0,4.0,8611.0,No
401,3.0,1.0,1147.0,No
402,2.0,1.0,1100.0,No
403,4.0,3.0,,No
404,3.0,1.0,900.0,No
405,2.0,1.0,1614.0,No
406,2.0,1.0,,Yes
407,2.0,1.0,,Yes
408,2.0,1.0,900.0,No
409,3.0,1.0,2592.0,No
410,3.0,1.0,,No
411,2.0,1.0,3838.0,No
412,,,,No
413,6.0,2.0,,Yes
414,3.0,1.0,2520.0,No
415,,,,No
416,2.0,1.0,,No
417,3.0,2.0,1200.0,No
418,3.0,1.0,1013.0,No
419,,,,No
420,3.0,1.0,1163.0,No
421,1.0,1.0,40292.0,No
422,3.0,1.0,2376.0,Yes
423,4.0,2.0,1600.0,Yes
424,5.0,2.0,1832.0,No
425,2.0,1.0,1000.0,No
426,3.0,1.0,,Yes
427,2.0,1.0,1901.0,No
428,3.0,1.0,3150.0,No
429,3.0,1.0,1341.0,No
430,1.0,1.0,1000.0,No
431,2.0,1.0,,No
432,2.0,1.0,,Yes
433,2.0,1.0,5386.0,No
434,1.0,1.0,5150.0,No
435,,,,No
436,3.0,2.0,1300.0,No
437,3.0,1.0,1934.0,No
438,2.0,1.0,612.0,No
439,3.0,1.0,3532.0,No
440,4.0,1.0,1400.0,No
441,3.0,2.5,3121.0,No
442,1.0,1.0,,No
443,1.0,1.0,512.0,No
444,3.0,1.0,1100.0,No
445,3.0,1.0,1350.0,No
446,2.0,2.5,1532.0,No
447,3.0,2.0,,No
448,3.0,2.0,2000.0,No
449,,,,No
450,2.0,1.0,,Yes
451,5.0,3.0,,No
452,3.0,2.0,,No
453,2.0,1.0,,No
454,2.0,1.0,,Yes
455,3.0,1.0,,No
456,3.0,2.0,1614.0,Yes
457,3.0,1.0,,No
458,,,,No
459,,,,No
460,3.0,1.0,1200.0,Yes
461,2.0,1.0,1614.0,Yes
462,2.0,1.0,,Yes
463,1.0,1.0,,Yes
464,2.0,1.0,,No
465,5.0,4.0,5000.0,Yes
466,2.0,1.0,,No
467,2.0,2.0,,No
468,3.0,2.0,4305.0,No
469,,,,No
470,2.0,1.0,,No
471,6.0,2.0,2795.0,No
472,2.0,1.0,,No
473,3.0,3.0,3300.0,No
474,3.0,1.0,1152.0,No
475,,,,No
476,3.0,1.0,,No
477,3.0,1.0,,No
478,3.0,2.0,,Yes
479,2.0,1.0,,No
480,2.0,1.0,960.0,Yes
481,2.0,1.0,1200.0,Yes
482,1.0,1.0,,No
483,2.0,1.0,,Yes
484,3.0,1.0,,No
485,3.0,1.0,1400.0,No
486,2.0,2.0,,No
487,,,,No
488,1.0,1.0,1614.0,Yes
489,4.0,2.0,,No
490,2.0,2.0,2200.0,No
491,3.0,2.0,1400.0,No
492,3.0,2.0,,Yes
493,2.0,2.0,1500.0,No
494,3.0,2.0,,No
495,3.0,1.0,,No
496,2.0,1.0,,No
497,1.0,1.0,850.0,Yes
498,1.0,1.0,333.0,No
499,3.0,1.0,1900.0,No
500,,,,No
501,4.0,1.0,1450.0,Yes
502,2.0,1.0,1200.0,No
503,3.0,2.0,,No
504,3.0,1.0,,No
505,4.0,2.0,,Yes
506,2.0,1.0,,Yes
507,2.0,1.0,1000.0,No
508,,,,No
509,3.0,1.0,,Yes
510,3.0,1.0,1200.0,No
511,1.0,1.0,,No
512,4.0,1.0,,No
513,,,,No
514,2.0,1.0,,Yes
515,2.0,1.0,,No
516,2.0,1.0,1000.0,No
517,2.0,1.0,1000.0,No
518,1.0,1.0,772.0,No
519,3.0,1.0,,No
520,1.0,1.0,,No
521,3.0,1.0,1500.0,No
522,5.0,2.0,,Yes
523,3.0,2.0,1195.0,No
524,3.0,2.0,2000.0,Yes
525,1.0,1.0,,No
526,2.0,1.0,1614.0,Yes
527,2.0,1.0,930.0,No
528,1.0,1.0,900.0,No
529,2.0,2.0,1025.0,Yes
530,,1.0,400.0,Yes
531,4.0,2.0,1201.0,Yes
532,3.0,1.5,1516.0,Yes
533,5.0,3.0,2401.0,Yes
534,4.0,4.5,5988.0,No
535,3.0,2.5,1711.0,No
536,3.0,2.0,1232.0,Yes
537,4.0,3.5,2245.0,No
538,5.0,2.0,1947.0,Yes
539,1.0,1.5,1027.0,No
540,2.0,2.0,500.0,Yes
541,1.0,1.0,568.0,No
542,3.0,3.5,2291.0,No
543,1.0,1.0,707.0,No
544,5.0,2.0,1343.0,No
545,1.0,1.0,971.0,No
546,1.0,1.0,905.0,No
547,2.0,2.5,1987.0,No
548,1.0,1.0,538.0,Yes
549,3.0,2.0,1314.0,No
550,4.0,2.0,1500.0,No
551,4.0,4.0,,Yes
552,3.0,2.0,1675.0,No
553,2.0,2.0,1290.0,Yes
554,2.0,2.5,1417.0,No
555,2.0,3.0,2055.0,No
556,1.0,1.0,861.0,No
557,3.0,3.5,2958.0,No
558,3.0,3.0,2557.0,No
559,4.0,2.0,,No
560,1.0,1.0,941.0,No
561,4.0,2.0,2080.0,No
562,1.0,1.0,654.0,No
563,5.0,3.0,2827.0,No
564,1.0,1.0,678.0,No
565,2.0,1.5,1110.0,No
