Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
1699,6.0,2.0,3166.0,No
1700,2.0,2.0,1324.0,No
1701,8.0,5.0,,No
1702,3.0,2.5,1532.0,No
1703,8.0,6.0,,No
1704,5.0,4.0,,No
1705,2.0,1.0,,Yes
1706,1.0,1.0,673.0,No
1707,,,,Yes
1708,3.0,2.0,1269.0,No
1709,3.0,3.0,2022.0,No
1710,2.0,2.0,999.0,No
1711,1.0,1.0,,No
1712,3.0,2.0,1336.0,No
1713,2.0,2.0,,No
1714,1.0,1.0,,No
1715,1.0,1.0,,Yes
1716,3.0,3.0,1589.0,No
1717,4.0,3.5,2040.0,No
1718,3.0,4.0,,No
1719,3.0,4.0,1700.0,Yes
1720,2.0,1.5,992.0,No
1721,3.0,2.5,1447.0,No
1722,3.0,2.0,1447.0,No
1723,3.0,2.0,1013.0,No
1724,,,,No
1725,1.0,1.0,665.0,No
1726,3.0,2.0,1396.0,No
1727,4.0,3.0,,No
1728,2.0,1.0,852.0,No
1729,3.0,2.0,2001.0,No
1730,5.0,5.0,,No
1731,1.0,1.0,583.0,No
1732,2.0,2.0,,No
1733,3.0,2.0,1450.0,No
1734,2.0,2.0,,No
1735,1.0,1.0,549.0,No
1736,3.0,2.0,993.0,No
1737,3.0,2.0,2100.0,No
1738,3.0,2.5,1902.0,No
1739,2.0,2.0,1089.0,No
1740,4.0,3.0,,No
1741,3.0,2.0,2097.0,No
1742,2.0,2.0,1006.0,No
1743,1.0,1.0,300.0,Yes
1744,2.0,1.0,1548.0,No
1745,1.0,1.0,660.0,No
1746,5.0,5.0,,No
1747,4.0,2.5,2442.0,No
1748,6.0,5.0,,No
1749,4.0,2.0,1300.0,Yes
1750,,1.0,600.0,Yes
1751,4.0,3.0,,No
1752,3.0,2.5,2000.0,No
1753,3.0,2.0,1200.0,No
1754,8.0,6.0,3562.0,No
1755,1.0,1.0,781.0,No
1756,,,,No
1757,1.0,1.0,735.0,No
1758,9.0,5.0,,No
1759,1.0,1.0,300.0,Yes
1760,2.0,2.0,,No
1761,1.0,1.0,825.0,No
1762,3.0,2.5,1788.0,No
1763,3.0,2.0,1839.0,No
1764,3.0,2.0,1465.0,No
1765,2.0,1.0,838.0,No
1766,1.0,1.0,436.0,No
1767,1.0,1.0,,No
1768,2.0,1.0,723.0,No
1769,3.0,2.0,2300.0,No
1770,2.0,2.0,1107.0,No
1771,1.0,1.0,782.0,No
1772,3.0,2.0,1656.0,No
1773,2.0,1.0,940.0,No
1774,3.0,1.0,,Yes
1775,3.0,2.0,1443.0,No
1776,1.0,1.0,,No
1777,3.0,2.5,1755.0,No
1778,1.0,1.0,711.0,No
1779,2.0,2.0,,No
1780,3.0,1.0,650.0,No
1781,1.0,1.0,300.0,No
1782,2.0,2.0,,No
1783,1.0,1.0,,No
1784,2.0,2.0,1205.0,No
1785,3.0,2.0,,No
1786,,,,No
1787,3.0,3.5,2061.0,Yes
1788,5.0,5.0,,No
1789,4.0,2.5,2353.0,No
1790,10.0,8.0,,No
1791,2.0,1.0,,Yes
1792,1.0,1.0,720.0,No
1793,8.0,5.0,,No
1794,6.0,6.0,,No
1795,3.0,3.0,1746.0,No
1796,2.0,2.0,1299.0,No
1797,2.0,2.0,988.0,No
1798,3.0,2.5,1530.0,No
1799,3.0,1.0,1064.0,No
1800,3.0,,1195.0,No
1801,2.0,2.0,1187.0,No
1802,3.0,1.5,1684.0,No
1803,2.0,2.0,,No
1804,1.0,1.0,,No
1805,2.0,2.0,1032.0,No
1806,3.0,2.0,,No
1807,1.0,1.0,400.0,No
1808,4.0,3.0,1749.0,No
1809,3.0,2.0,2100.0,No
1810,2.0,2.5,1236.0,No
1811,1.0,2.0,,No
1812,1.0,1.0,619.0,No
1813,4.0,3.0,1888.0,No
1814,1.0,2.0,,No
1815,3.0,3.0,,No
1816,,,,No
1817,3.0,2.0,1279.0,No
1818,3.0,2.0,1412.0,No
1819,2.0,1.0,952.0,No
1820,1.0,1.0,554.0,No
1821,,,,No
1822,7.0,5.0,3000.0,No
1823,2.0,2.0,905.0,No
1824,4.0,4.0,1280.0,No
1825,3.0,2.0,1247.0,No
1826,4.0,2.0,2013.0,No
1827,1.0,1.0,,Yes
1828,3.0,2.0,1823.0,No
1829,6.0,3.5,3617.0,No
1830,2.0,2.0,1750.0,No
1831,5.0,5.0,,No
1832,3.0,2.0,,No
1833,4.0,2.5,1717.0,No
1834,3.0,2.5,1624.0,No
1835,5.0,4.0,2120.0,No
1836,1.0,1.0,546.0,No
1837,1.0,2.0,800.0,No
1838,2.0,1.0,709.0,Yes
1839,4.0,2.0,2000.0,Yes
1840,3.0,4.0,1777.0,No
1841,1.0,1.0,550.0,No
1842,3.0,2.0,1580.0,No
1843,1.0,1.0,856.0,No
1844,2.0,2.0,1112.0,No
1845,1.0,2.0,798.0,Yes
1846,,,,No
1847,,,,No
1848,3.0,2.0,1412.0,No
1849,2.0,1.0,800.0,Yes
1850,1.0,1.0,,No
1851,4.0,2.0,,Yes
1852,1.0,1.0,,No
1853,1.0,1.0,,No
1854,3.0,1.0,1200.0,Yes
1855,,,,No
1856,1.0,1.0,900.0,No
1857,3.0,3.0,,No
1858,3.0,3.0,,No
1859,1.0,1.0,,Yes
1860,1.0,1.0,,No
1861,,,,No
1862,3.0,3.0,,Yes
1863,2.0,3.0,,No
1864,4.0,2.0,,No
1865,3.0,1.0,,No
1866,3.0,5.0,,No
1867,3.0,3.0,,No
1868,4.0,2.0,1662.0,Yes
1869,4.0,3.0,,Yes
1870,1.0,1.0,,No
1871,4.0,2.0,,No
1872,2.0,2.0,,No
1873,1.0,1.0,,No
1874,2.0,2.0,,No
1875,,,,No
1876,1.0,1.0,,No
1877,2.0,1.0,1250.0,No
1878,3.0,4.0,,No
1879,2.0,1.0,,Yes
1880,1.0,1.0,,No
1881,1.0,1.0,750.0,No
1882,2.0,1.0,,No
1883,4.0,3.0,,No
1884,2.0,1.0,1100.0,Yes
1885,2.0,2.0,1400.0,No
1886,3.0,4.0,,No
1887,1.0,1.0,,No
1888,3.0,1.0,,No
1889,2.0,2.0,,Yes
1890,1.0,1.0,,No
1891,,,,No
1892,,,,No
1893,,,,No
1894,1.0,1.0,,No
1895,4.0,3.0,2300.0,No
1896,5.0,3.0,,No
1897,,,,No
1898,3.0,3.0,,No
1899,1.0,1.0,682.0,No
1900,,,,No
1901,5.0,2.0,,No
1902,2.0,1.0,,No
1903,,,,No
1904,3.0,1.0,,No
1905,2.0,1.0,,No
1906,4.0,3.0,,No
1907,,,,No
1908,1.0,1.0,,No
1909,3.0,1.0,,No
1910,2.0,2.0,,No
1911,,,,No
1912,2.0,2.0,,No
1913,3.0,3.0,,No
1914,2.0,1.0,,No
1915,3.0,4.0,,No
1916,2.0,3.0,,No
1917,,,,No
1918,1.0,1.0,,No
1919,4.0,2.0,1712.0,No
1920,,,,No
1921,3.0,1.0,,No
1922,3.0,4.0,,No
1923,2.0,1.0,,No
1924,2.0,2.0,1400.0,Yes
1925,1.0,1.0,,No
1926,3.0,3.0,1820.0,Yes
1927,2.0,1.0,,No
1928,1.0,1.0,,No
1929,2.0,1.0,,No
1930,5.0,3.0,3000.0,No
1931,1.0,1.0,,Yes
1932,1.0,1.0,,Yes
1933,2.0,1.0,,Yes
1934,1.0,1.0,,No
1935,1.0,1.0,366.0,Yes
1936,1.0,1.0,,No
1937,3.0,3.0,,No
1938,3.0,2.0,1988.0,Yes
1939,2.0,2.0,2400.0,Yes
1940,1.0,1.0,,No
1941,2.0,1.0,,No
1942,2.0,1.0,,No
1943,3.0,3.0,1800.0,No
1944,2.0,1.0,500.0,No
1945,4.0,3.0,,No
1946,2.0,1.0,,No
1947,2.0,1.0,,No
1948,1.0,1.0,,Yes
1949,2.0,1.0,,No
1950,3.0,2.0,,No
1951,4.0,3.0,,No
1952,2.0,1.0,,No
1953,3.0,2.0,,No
1954,2.0,1.0,,No
1955,2.0,1.0,1000.0,No
1956,1.0,1.0,,Yes
1957,,,,No
1958,,,,No
1959,5.0,3.0,1800.0,No
1960,1.0,1.0,,No
1961,5.0,5.0,,No
1962,4.0,3.0,2500.0,No
1963,1.0,1.0,,Yes
1964,2.0,2.0,,No
1965,5.0,3.0,,No
1966,3.0,1.0,,No
1967,,,,No
1968,2.0,1.0,,No
1969,1.0,1.0,,No
1970,1.0,1.0,690.0,Yes
1971,2.0,1.0,,No
1972,1.0,1.0,,No
1973,,,,No
1974,1.0,1.0,,No
1975,1.0,1.0,,Yes
1976,2.0,4.0,,No
1977,2.0,1.0,,No
1978,1.0,1.0,,No
1979,2.0,2.0,,No
1980,3.0,1.0,1190.0,No
1981,1.0,1.0,,No
1982,2.0,1.0,,No
1983,2.0,2.0,,No
1984,,,,No
1985,2.0,1.0,,No
1986,1.0,3.0,,No
1987,3.0,1.0,,No
1988,1.0,1.0,900.0,Yes
1989,3.0,1.0,,Yes
1990,1.0,3.0,,No
1991,2.0,1.0,,No
1992,2.0,2.0,1800.0,No
1993,2.0,1.0,,Yes
1994,2.0,1.0,,No
1995,1.0,1.0,,No
1996,4.0,3.0,,Yes
1997,3.0,4.0,,No
1998,2.0,2.0,,No
1999,5.0,3.0,,No
2000,,1.0,204.0,No
2001,5.0,4.0,,No
2002,4.0,1.0,1500.0,Yes
2003,3.0,1.0,,No
2004,1.0,1.0,,No
2005,,,,No
2006,4.0,3.0,3600.0,No
2007,1.0,1.0,,No
2008,4.0,2.0,,No
2009,4.0,4.0,2200.0,No
2010,1.0,1.0,600.0,No
2011,3.0,3.0,,No
2012,3.0,2.0,1600.0,Yes
2013,2.0,1.0,,No
2014,5.0,3.0,,No
2015,3.0,2.0,1200.0,Yes
2016,2.0,2.0,,No
2017,4.0,3.0,2650.0,No
2018,2.0,2.0,,No
2019,5.0,4.0,3000.0,Yes
2020,1.0,1.0,,No
2021,2.0,2.0,,No
2022,3.0,1.0,,Yes
2023,1.0,1.0,,No
2024,2.0,1.0,,No
2025,3.0,5.0,,No
2026,1.0,1.0,,No
2027,1.0,1.0,,No
2028,3.0,1.0,,No
2029,2.0,1.0,7534.0,No
2030,2.0,1.0,800.0,No
2031,1.0,1.0,,No
2032,1.0,1.0,,No
2033,3.0,1.0,1450.0,No
2034,2.0,1.0,,No
2035,2.0,1.0,1.0,No
2036,2.0,1.0,1.0,No
2037,1.0,1.0,,No
2038,1.0,1.0,,No
2039,1.0,1.0,,No
2040,1.0,1.0,,No
2041,2.0,1.0,1.0,No
2042,3.0,1.0,,No
2043,3.0,1.0,,No
2044,2.0,1.0,,No
2045,7.0,1.0,,No
2046,1.0,1.0,1.0,No
2047,1.0,1.0,1.0,No
2048,3.0,2.0,,Yes
2049,7.0,1.0,,No
2050,1.0,1.0,,No
2051,3.0,1.0,,No
2052,1.0,1.0,,No
2053,3.0,1.0,,No
2054,2.0,1.0,,No
2055,4.0,1.0,,No
2056,1.0,1.0,,No
2057,,,,No
2058,1.0,1.0,1.0,No
2059,1.0,1.0,,No
2060,2.0,1.0,,No
2061,2.0,1.0,,No
2062,1.0,1.0,,No
2063,3.0,1.0,1.0,No
2064,1.0,1.0,,No
2065,,,,No
2066,1.0,1.0,,No
2067,1.0,1.0,,No
2068,1.0,1.0,,No
2069,2.0,1.0,,No
2070,3.0,1.0,,No
2071,3.0,1.0,1.0,No
2072,4.0,1.0,,No
2073,2.0,1.0,1.0,No
2074,1.0,1.0,,No
2075,1.0,1.0,,No
2076,1.0,1.0,,No
2077,3.0,1.0,,No
2078,,,,No
2079,3.0,1.0,,No
2080,1.0,1.0,1.0,No
2081,2.0,1.0,,No
2082,1.0,1.0,1.0,No
2083,2.0,1.0,,No
2084,1.0,1.0,,No
2085,4.0,1.0,,No
2086,1.0,1.0,1.0,No
2087,1.0,1.0,,No
2088,1.0,1.0,,No
2089,1.0,1.0,,No
2090,1.0,1.0,,No
2091,2.0,1.0,1.0,No
2092,4.0,1.0,,No
2093,2.0,1.0,,No
2094,1.0,1.0,,No
2095,1.0,1.0,,No
2096,1.0,1.0,,No
2097,2.0,1.0,,No
2098,1.0,1.0,1.0,No
2099,1.0,1.0,,No
2100,2.0,1.0,,No
2101,2.0,1.0,1.0,No
2102,1.0,1.0,1.0,No
2103,,,,No
2104,1.0,1.0,1.0,No
2105,3.0,1.0,,No
2106,2.0,1.0,,No
2107,4.0,1.0,,No
2108,3.0,1.0,1.0,No
2109,1.0,1.0,,No
2110,1.0,1.0,,No
2111,1.0,1.0,1.0,No
2112,1.0,1.0,,No
2113,12.0,5.0,5.0,No
2114,3.0,2.0,1100.0,No
2115,3.0,3.0,,No
2116,1.0,1.0,695.0,No
2117,2.0,2.0,930.0,No
2118,,,,No
2119,1.0,1.0,497.0,No
2120,1.0,1.0,,No
2121,3.0,2.0,3500.0,No
2122,2.0,2.0,1200.0,No
2123,1.0,1.0,700.0,No
2124,2.0,1.0,640.0,No
2125,2.0,1.0,,No
2126,3.0,2.0,,No
2127,2.0,2.0,721.0,No
2128,2.0,2.0,,Yes
2129,4.0,2.0,2200.0,No
2130,,,,No
2131,12.0,5.0,5.0,No
2132,2.0,2.0,843.0,No
2133,2.0,2.0,,No
2134,12.0,5.0,5.0,No
2135,1.0,1.0,,No
2136,1.0,1.0,531.0,Yes
2137,4.0,2.0,2100.0,No
2138,1.0,1.0,,No
2139,2.0,2.0,,Yes
2140,3.0,2.0,,No
2141,4.0,4.0,,No
2142,2.0,1.0,,No
2143,2.0,1.0,,No
2144,1.0,2.0,,No
2145,,,,No
2146,4.0,2.0,2500.0,Yes
2147,,,,No
2148,2.0,1.0,,No
2149,5.0,4.0,,No
2150,3.0,2.0,,No
2151,1.0,1.0,,No
2152,1.0,1.0,503.0,Yes
2153,2.0,2.0,1135.0,No
2154,1.0,1.0,700.0,Yes
2155,2.0,1.0,,No
2156,1.0,1.0,,No
2157,6.0,4.0,5599.0,Yes
2158,1.0,1.0,,No
2159,1.0,1.0,,No
2160,3.0,2.0,,No
2161,2.0,2.0,1002.0,Yes
2162,3.0,1.0,,No
2163,,,,No
2164,4.0,2.0,,No
2165,1.0,1.0,,No
2166,2.0,2.0,,No
2167,5.0,5.0,,No
2168,,1.0,350.0,No
2169,2.0,1.0,900.0,No
2170,2.0,1.0,829.0,Yes
2171,1.0,1.0,,No
2172,1.0,1.0,480.0,No
2173,3.0,1.0,,No
2174,1.0,1.0,,No
2175,1.0,1.0,,No
2176,3.0,3.0,,No
2177,2.0,2.0,,No
2178,3.0,2.0,1800.0,No
2179,1.0,1.0,,No
2180,3.0,3.0,1800.0,No
2181,2.0,2.0,1091.0,No
2182,1.0,1.0,,No
2183,1.0,1.0,630.0,No
2184,4.0,2.0,2500.0,No
2185,2.0,2.0,1200.0,No
2186,12.0,5.0,5.0,No
2187,2.0,2.0,,No
2188,,,,No
2189,1.0,1.0,,Yes
2190,2.0,1.0,550.0,No
2191,2.0,1.0,,No
2192,1.0,1.0,,No
2193,,1.0,350.0,No
2194,2.0,1.0,800.0,No
2195,1.0,1.0,500.0,No
2196,3.0,3.0,1200.0,No
2197,1.0,2.0,640.0,Yes
2198,1.0,1.0,500.0,No
2199,1.0,1.0,,No
2200,3.0,2.0,,No
2201,2.0,2.0,900.0,Yes
2202,,,1.0,No
2203,1.0,1.0,,No
2204,,,,No
2205,1.0,1.0,,No
2206,1.0,1.0,,No
2207,2.0,2.0,1300.0,No
2208,1.0,1.0,850.0,Yes
2209,,,,No
2210,6.0,1.0,3000.0,No
2211,,1.0,,No
2212,,,,No
2213,3.0,2.0,1700.0,No
2214,2.0,2.0,,Yes
2215,2.0,1.0,800.0,No
2216,2.0,2.0,1000.0,Yes
2217,1.0,1.0,,Yes
2218,2.0,1.0,,No
2219,2.0,2.0,,No
2220,12.0,5.0,5.0,No
2221,3.0,3.0,,Yes
2222,1.0,1.0,800.0,No
2223,4.0,4.0,,Yes
2224,,,,No
2225,1.0,1.0,415.0,Yes
2226,2.0,1.0,900.0,Yes
2227,1.0,1.0,662.0,No
2228,5.0,3.0,,No
2229,3.0,1.0,,No
2230,12.0,5.0,5.0,No
2231,1.0,1.0,600.0,Yes
2232,1.0,1.0,600.0,No
2233,8.0,7.0,,No
2234,,,,No
2235,2.0,1.0,,Yes
2236,2.0,2.0,592.0,Yes
2237,1.0,1.0,550.0,No
2238,1.0,1.0,580.0,No
2239,1.0,1.0,640.0,No
2240,4.0,2.0,1600.0,No
2241,,1.0,,No
2242,1.0,1.0,625.0,No
2243,1.0,1.0,,No
2244,,,,Yes
2245,1.0,1.0,,No
2246,3.0,2.0,1350.0,No
2247,3.0,2.0,,No
2248,1.0,1.0,,No
2249,1.0,1.0,,No
2250,1.0,1.0,400.0,No
2251,7.0,1.0,,No
2252,1.0,2.0,,No
2253,3.0,3.0,,No
2254,12.0,5.0,5.0,No
2255,3.0,2.0,1250.0,Yes
2256,2.0,2.0,900.0,Yes
2257,1.0,1.0,,Yes
2258,2.0,2.0,,No
2259,1.0,1.0,567.0,No
2260,,1.0,510.0,No
2261,12.0,5.0,5.0,No
2262,2.0,1.0,,Yes
2263,2.0,3.0,,No
2264,4.0,4.0,,Yes
2265,1.0,1.0,,No
2266,2.0,1.0,,No
2267,1.0,1.0,,No
2268,1.0,1.0,,Yes
2269,1.0,1.0,,No
2270,1.0,1.0,700.0,No
2271,1.0,1.0,,No
2272,3.0,3.0,1800.0,Yes
2273,2.0,1.0,,No
2274,2.0,2.0,835.0,No
2275,2.0,2.0,,No
2276,2.0,2.0,,Yes
2277,1.0,1.0,,Yes
2278,1.0,1.0,,No
2279,1.0,1.0,,No
2280,1.0,1.0,,No
2281,3.0,2.0,,No
2282,2.0,2.0,,No
2283,3.0,3.0,1485.0,Yes
2284,1.0,1.0,,No
2285,2.0,3.0,1300.0,No
2286,2.0,1.0,650.0,No
2287,1.0,1.0,,No
2288,12.0,5.0,5.0,No
2289,1.0,1.0,816.0,Yes
2290,2.0,2.0,1000.0,No
2291,2.0,2.0,950.0,No
2292,1.0,1.0,,No
2293,1.0,1.0,,No
2294,2.0,1.0,,No
2295,1.0,1.0,667.0,No
2296,2.0,1.0,650.0,Yes
2297,1.0,1.0,,No
2298,1.0,1.0,549.0,No
2299,2.0,2.0,1100.0,Yes
2300,3.0,3.0,2000.0,Yes
2301,2.0,2.0,1030.0,No
2302,1.0,1.0,,Yes
2303,12.0,5.0,5.0,No
2304,2.0,2.0,,No
2305,1.0,1.0,,No
2306,1.0,1.0,800.0,Yes
2307,12.0,5.0,5.0,No
2308,5.0,6.0,4500.0,No
2309,6.0,6.0,5200.0,No
2310,3.0,2.0,,No
2311,,,,No
2312,12.0,5.0,5.0,No
2313,1.0,1.0,,Yes
2314,3.0,1.0,,No
2315,1.0,1.0,663.0,Yes
2316,,,,No
2317,2.0,1.0,725.0,No
2318,,1.0,,No
2319,5.0,5.0,2691.0,No
2320,2.0,2.0,1000.0,No
2321,2.0,2.0,1050.0,No
2322,2.0,2.0,700.0,Yes
2323,1.0,1.0,,No
2324,1.0,1.0,512.0,Yes
2325,2.0,2.0,1000.0,No
2326,6.0,3.0,,No
2327,2.0,3.0,1058.0,No
2328,3.0,2.0,1300.0,No
2329,3.0,2.0,,No
2330,1.0,1.0,,Yes
2331,1.0,1.0,,No
2332,2.0,2.0,,No
2333,2.0,1.0,,No
2334,3.0,3.0,1593.0,Yes
2335,7.0,6.0,3500.0,No
2336,3.0,2.0,1000.0,No
2337,3.0,3.0,,No
2338,1.0,1.0,,Yes
2339,2.0,1.0,,No
2340,2.0,2.0,,No
2341,1.0,1.0,529.0,Yes
2342,,1.0,,No
2343,3.0,3.0,,No
2344,2.0,1.0,,No
2345,,,,No
2346,1.0,1.0,,No
2347,1.0,2.0,,No
2348,3.0,2.0,,No
2349,2.0,2.0,,No
2350,3.0,3.0,,Yes
2351,,,,No
2352,3.0,2.0,1300.0,No
2353,1.0,1.0,730.0,No
2354,3.0,2.0,,No
2355,1.0,1.0,,No
2356,2.0,1.0,900.0,No
2357,,,,No
2358,4.0,3.0,,No
2359,3.0,1.0,,No
2360,3.0,3.0,1300.0,No
2361,2.0,1.0,617.0,No
2362,2.0,2.0,1000.0,No
2363,,,,No
2364,6.0,3.0,2465.0,Yes
2365,1.0,2.0,750.0,No
2366,,1.0,350.0,No
2367,2.0,2.0,,No
2368,2.0,2.0,,No
2369,2.0,2.0,,No
2370,1.0,1.0,700.0,No
2371,3.0,2.0,,No
2372,2.0,1.0,,No
2373,1.0,1.0,600.0,No
2374,2.0,2.0,,No
2375,2.0,2.0,,No
2376,3.0,2.0,1350.0,Yes
2377,1.0,2.0,,Yes
2378,1.0,1.0,1.0,No
2379,,1.0,1.0,No
2380,2.0,2.0,9687.0,Yes
2381,1.0,1.0,700.0,No
2382,1.0,1.0,592.0,Yes
2383,2.0,1.0,1.0,No
2384,2.0,1.0,,No
2385,,,,No
2386,2.0,1.0,,No
2387,2.0,1.0,,No
2388,2.0,2.0,,Yes
2389,3.0,2.0,,No
2390,1.0,1.0,,No
2391,4.0,1.0,,No
2392,3.0,1.0,,No
2393,1.0,1.0,470.0,No
2394,2.0,2.0,2.0,No
2395,2.0,2.0,,No
2396,2.0,2.0,,No
2397,3.0,1.0,1100.0,Yes
2398,3.0,1.0,,Yes
2399,1.0,2.0,,No
2400,1.0,1.0,,No
2401,1.0,1.0,1.0,No
2402,1.0,1.0,,No
2403,1.0,1.0,,No
2404,2.0,1.0,,No
2405,1.0,1.0,,No
2406,1.0,1.0,,No
2407,,,,No
2408,,1.0,,No
2409,1.0,1.0,,No
2410,1.0,1.0,1.0,No
2411,4.0,5.0,3500.0,No
2412,,,,No
2413,,,,No
2414,2.0,2.0,,No
2415,1.0,1.0,,No
2416,1.0,1.0,,No
2417,3.0,1.0,,No
2418,1.0,1.0,,No
2419,5.0,4.0,3500.0,Yes
2420,1.0,1.0,,No
2421,4.0,6.0,,No
2422,1.0,1.0,,Yes
2423,1.0,1.0,,No
2424,1.0,1.0,,No
2425,1.0,1.0,,No
2426,,,,No
2427,1.0,1.0,,No
2428,1.0,1.0,,No
2429,1.0,2.0,,No
2430,1.0,1.0,,No
2431,1.0,1.0,,No
2432,1.0,1.0,,No
2433,1.0,1.0,600.0,No
2434,1.0,1.0,450.0,No
2435,7.0,5.0,2796.0,No
2436,4.0,4.0,,No
2437,1.0,1.0,,No
2438,,1.0,1.0,No
2439,2.0,2.0,,No
2440,1.0,1.0,,No
2441,3.0,2.0,,No
2442,1.0,1.0,,No
2443,,,,No
2444,1.0,1.0,,Yes
2445,1.0,1.0,380.0,No
2446,,1.0,1.0,No
2447,2.0,1.0,,No
2448,3.0,2.0,,No
2449,,1.0,,No
2450,1.0,1.0,,No
2451,2.0,2.0,,No
2452,1.0,1.0,500.0,No
2453,2.0,1.0,645.0,No
2454,1.0,1.0,650.0,Yes
2455,1.0,1.0,,No
2456,5.0,6.0,6000.0,Yes
2457,1.0,1.0,,No
2458,5.0,2.0,,No
2459,1.0,1.0,,No
2460,2.0,2.0,,No
2461,,,,No
2462,1.0,1.0,,No
2463,2.0,1.0,,No
2464,1.0,1.0,750.0,Yes
2465,2.0,1.0,,No
2466,1.0,1.0,,No
2467,6.0,4.0,,Yes
2468,1.0,1.0,,No
2469,1.0,1.0,,No
2470,2.0,2.0,,Yes
2471,,,,No
2472,2.0,1.0,,No
2473,,1.0,700.0,No
2474,8.0,7.0,,No
2475,,,,No
2476,,,,No
2477,1.0,1.0,,Yes
2478,,,,No
2479,2.0,1.0,,No
2480,1.0,1.0,,No
2481,2.0,2.0,1200.0,Yes
2482,2.0,1.0,,No
2483,3.0,2.0,,No
2484,1.0,1.0,612.0,Yes
2485,,,,No
2486,1.0,1.0,,No
2487,,,,No
2488,1.0,1.0,610.0,No
2489,2.0,2.0,,Yes
2490,1.0,1.0,,No
2491,2.0,1.0,1.0,No
2492,1.0,1.0,,No
2493,1.0,1.0,,No
2494,1.0,2.0,,Yes
2495,1.0,1.0,,No
2496,5.0,5.0,,No
2497,1.0,2.0,,No
2498,2.0,2.0,850.0,No
2499,4.0,3.0,3000.0,Yes
2500,1.0,1.0,,No
2501,,,,No
2502,1.0,1.0,,No
2503,1.0,1.0,,No
2504,2.0,1.0,600.0,No
2505,2.0,1.0,,Yes
2506,2.0,1.0,1.0,No
2507,5.0,4.0,,Yes
2508,2.0,1.0,850.0,No
2509,2.0,2.0,635.0,No
2510,1.0,1.0,,Yes
2511,2.0,1.0,,Yes
2512,2.0,2.0,1000.0,Yes
2513,,,,No
2514,1.0,1.0,850.0,No
2515,2.0,2.0,,No
2516,3.0,1.0,,Yes
2517,1.0,1.0,,No
2518,1.0,1.0,527.0,No
2519,2.0,2.0,800.0,No
2520,3.0,1.0,,No
2521,1.0,1.0,,No
2522,1.0,1.0,,No
2523,5.0,2.0,,No
2524,2.0,2.0,1200.0,Yes
2525,5.0,5.0,,No
2526,3.0,3.0,,Yes
2527,1.0,1.0,,No
2528,,1.0,1.0,No
2529,2.0,2.0,2.0,No
2530,2.0,1.0,,No
2531,1.0,1.0,,No
2532,2.0,2.0,,No
2533,,,,No
2534,4.0,3.0,1800.0,No
2535,1.0,1.0,,No
2536,3.0,2.0,,No
2537,1.0,1.0,1.0,Yes
2538,2.0,1.0,,No
2539,2.0,2.0,,No
2540,1.0,1.0,2.0,No
2541,1.0,1.0,1.0,No
2542,3.0,2.0,,No
2543,1.0,1.0,650.0,No
2544,1.0,1.0,1.0,No
2545,1.0,1.0,484.0,No
2546,2.0,2.0,,No
2547,2.0,2.0,1000.0,No
2548,1.0,1.0,250.0,No
2549,3.0,1.0,,No
2550,3.0,2.0,,No
2551,1.0,1.0,,No
2552,1.0,1.0,,No
2553,2.0,2.0,900.0,No
2554,5.0,2.0,,No
2555,2.0,1.0,,No
2556,1.0,1.0,1.0,No
2557,1.0,2.0,,No
2558,1.0,1.0,,No
2559,,,,No
2560,,,,No
2561,2.0,1.0,592.0,No
2562,2.0,2.0,2.0,Yes
2563,1.0,1.0,480.0,No
2564,2.0,2.0,,Yes
2565,3.0,3.0,,No
2566,5.0,5.0,,Yes
2567,1.0,1.0,,No
2568,,,,No
2569,1.0,4.0,5382.0,Yes
2570,3.0,2.0,1200.0,Yes
2571,4.0,2.0,1600.0,No
2572,1.0,1.0,,No
2573,1.0,1.0,4844.0,Yes
2574,3.0,3.0,4500.0,Yes
2575,3.0,3.0,2800.0,Yes
2576,3.0,2.0,,No
2577,2.0,2.0,2.0,No
2578,5.0,5.0,3200.0,Yes
2579,4.0,4.0,2200.0,No
2580,1.0,1.0,1.0,No
2581,3.0,1.0,2.0,No
2582,3.0,3.0,2500.0,No
2583,1.0,1.0,,No
2584,1.0,1.0,,No
2585,1.0,1.0,700.0,No
2586,1.0,1.0,,No
2587,1.0,1.0,1.0,No
2588,,,,No
2589,3.0,3.0,,No
2590,1.0,1.0,,No
2591,1.0,1.0,1.0,No
2592,1.0,2.0,4000.0,No
2593,3.0,2.0,1202.0,No
2594,,,,No
2595,,1.0,1.0,No
2596,1.0,1.0,,No
2597,1.0,2.0,,Yes
2598,1.0,1.0,,No
2599,2.0,1.0,,No
2600,2.0,1.0,1500.0,Yes
2601,1.0,1.0,,No
2602,1.0,1.0,,No
2603,1.0,1.0,,Yes
2604,1.0,1.0,1.0,No
2605,1.0,1.0,,No
2606,1.0,1.0,,No
2607,4.0,4.0,2000.0,Yes
2608,1.0,1.0,,No
2609,,,,No
2610,1.0,1.0,,Yes
2611,3.0,1.0,,Yes
2612,1.0,1.0,,No
2613,1.0,1.0,,No
2614,1.0,1.0,,No
2615,1.0,1.0,1000.0,No
2616,1.0,1.0,,No
2617,,,,No
2618,1.0,1.0,,Yes
2619,1.0,1.0,,No
2620,4.0,4.0,,No
2621,4.0,2.0,,Yes
2622,2.0,2.0,675.0,No
